Time/s,X-axis/m,Y-axis/m,Altitude/m,Roll/rad,Pitch/rad,Yaw/rad
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0257,0.0,0.0,0.0
0.24,0.0,0.0,0.0849,0.0,0.0,0.0
0.35,0.0,0.0,0.1783,0.0,0.0,0.0
0.47,0.0,0.0,0.3192,0.0,0.0,0.0
0.58,0.0,0.0,0.4841,0.0,0.0,0.0
0.69,0.0,0.0,0.6833,0.0,0.0,0.0
0.8,0.0,0.0,0.9167,0.0,0.0,0.0
0.91,0.0,0.0,1.1844,0.0,0.0,0.0
1.03,0.0,0.0,1.5154,0.0,0.0,0.0
1.14,0.0,0.0,1.8543,0.0,0.0,0.0
1.25,0.0,0.0,2.2173,0.0,0.0,0.0
1.37,0.0,0.0,2.6185,0.0,0.0,0.0
1.48,0.0,0.0,2.9741,0.0,0.0,0.0
1.59,0.0,0.0,3.3054,0.0,0.0,0.0
1.7,0.0,0.0,3.6032,0.0,0.0,0.0
1.81,0.0,0.0,3.8617,0.0,0.0,0.0
1.93,0.0,0.0,4.0952,0.0,0.0,0.0
2.04,0.0,0.0,4.2638,0.0,0.0,0.0
2.15,0.0,0.0,4.3902,0.0,0.0,0.0
2.25,0.0,0.0,4.4707,0.0,0.0,0.0
2.36,0.0,0.0,4.5249,0.0,0.0,0.0
2.48,0.0,0.0,4.5482,0.0,0.0,0.0
2.59,0.0,0.0,4.5421,0.0,0.0,0.0
2.7,0.0,0.0,4.515,0.0,0.0,0.0
2.81,0.0,0.0,4.4719,0.0,0.0,0.0
2.92,0.0,0.0,4.4175,0.0,0.0,0.0
3.04,0.0,0.0,4.3504,0.0,0.0,0.0
3.15,0.0,0.0,4.2859,0.0,0.0,0.0
3.26,0.0,0.0,4.2217,0.0,0.0,0.0
3.37,0.0,0.0,4.1604,0.0,0.0,0.0
3.48,0.0,0.0,4.104,0.0,0.0,0.0
3.59,0.0,0.0,4.0539,0.0,0.0,0.0
3.71,0.0,0.0,4.0074,0.0,0.0,0.0
3.82,0.0,0.0,3.9726,0.0,0.0,0.0
3.93,0.0,0.0,3.9455,0.0,0.0,0.0
4.04,0.0,0.0,3.9257,0.0,0.0,0.0
4.15,0.0,0.0,3.9126,0.0,0.0,0.0
4.26,0.0,0.0,3.9055,0.0,0.0,0.0
4.38,0.0,0.0,3.9036,0.0,0.0,0.0
4.49,0.0,0.0,3.9064,0.0,0.0,0.0
4.6,0.0,0.0,3.9124,0.0,0.0,0.0
4.71,0.0,0.0,3.9209,0.0,0.0,0.0
4.82,0.0,0.0,3.9311,0.0,0.0,0.0
4.93,0.0,0.0,3.9421,0.0,0.0,0.0
5.04,0.0,0.0,3.9535,0.0,0.0,0.0
5.16,0.0,0.0,3.9657,0.0,0.0,0.0
5.27,0.0,0.0,3.9761,0.0,0.0,0.0
5.38,0.0,0.0,3.9856,0.0,0.0,0.0
5.49,0.0,0.0,3.9939,0.0,0.0,0.0
5.6,0.0,0.0,4.0009,0.0,0.0,0.0
5.71,0.0,0.0,4.0065,0.0,0.0,0.0
5.83,0.0,0.0,4.0112,0.0,0.0,0.0
5.94,0.0,0.0,4.0142,0.0,0.0,0.0
6.05,0.0,0.0,4.016,0.0,0.0,0.0
6.16,0.0,0.0,4.0169,0.0,0.0,0.0
6.28,0.0,0.0,4.0168,0.0,0.0,0.0
6.39,0.0,0.0,4.0161,0.0,0.0,0.0
6.5,0.0,0.0,4.0148,0.0,0.0,0.0
6.61,0.0,0.0,4.0132,0.0,0.0,0.0
6.72,0.0,0.0,4.0113,0.0,0.0,0.0
6.84,0.0,0.0,4.0091,0.0,0.0,0.0
6.94,0.0,0.0,4.0073,0.0,0.0,0.0
7.05,0.0,0.0,4.0054,0.0,0.0,0.0
7.16,0.0,0.0,4.0036,0.0,0.0,0.0
7.28,0.0,0.0,4.0019,0.0,0.0,0.0
7.39,0.0,0.0,4.0005,0.0,0.0,0.0
7.5,0.0,0.0,3.9994,0.0,0.0,0.0
7.61,0.0,0.0,3.9985,0.0,0.0,0.0
7.73,0.0,0.0,3.9978,0.0,0.0,0.0
7.84,0.0,0.0,3.9974,0.0,0.0,0.0
7.95,0.0,0.0,3.9971,0.0,0.0,0.0
8.06,0.0,0.0,3.997,0.0,0.0,0.0
8.17,0.0,0.0,3.9971,0.0,0.0,0.0
8.28,0.0,0.0,3.9972,0.0,0.0,0.0
8.4,0.0,0.0,3.9975,0.0,0.0,0.0
8.51,0.0,0.0,3.9978,0.0,0.0,0.0
8.62,0.0,0.0,3.9982,0.0,0.0,0.0
8.73,0.0,0.0,3.9985,0.0,0.0,0.0
8.85,0.0,0.0,3.9989,0.0,0.0,0.0
8.96,0.0,0.0,3.9992,0.0,0.0,0.0
9.07,0.0,0.0,3.9995,0.0,0.0,0.0
9.18,0.0,0.0,3.9998,0.0,0.0,0.0
9.29,0.0,0.0,4.0,0.0,0.0,0.0
9.41,0.0,0.0,4.0002,0.0,0.0,0.0
9.52,0.0,0.0,4.0003,0.0,0.0,0.0
9.63,0.0,0.0,4.0004,0.0,0.0,0.0
9.74,0.0,0.0,4.0005,0.0,0.0,0.0
9.85,0.0,0.0,4.0005,0.0,0.0,0.0
9.97,0.0,0.0,4.0005,0.0,0.0,0.0
10.08,0.0,0.0,4.0005,0.0,0.0,0.0
10.19,0.0,0.0,4.0005,0.0,0.0,0.0
10.3,0.0,0.0,4.0004,0.0,0.0,0.0
10.42,0.0,0.0,4.0004,0.0,0.0,0.0
10.53,0.0,0.0,4.0003,0.0,0.0,0.0
10.64,0.0,0.0,4.0002,0.0,0.0,0.0
10.75,0.0,0.0,4.0002,0.0,0.0,0.0
10.86,0.0,0.0,4.0001,0.0,0.0,0.0
10.97,0.0,0.0,4.0001,0.0,0.0,0.0
11.09,0.0,0.0,4.0,0.0,0.0,0.0
11.2,0.0,0.0,4.0,0.0,0.0,0.0
11.31,0.0,0.0,4.0,0.0,0.0,0.0
11.42,0.0,0.0,3.9999,0.0,0.0,0.0
11.53,0.0,0.0,3.9999,0.0,0.0,0.0
11.64,0.0,0.0,3.9999,0.0,0.0,0.0
11.75,0.0,0.0,3.9999,0.0,0.0,0.0
11.86,0.0,0.0,3.9999,0.0,0.0,0.0
11.97,0.0,0.0,3.9999,0.0,0.0,0.0
12.08,0.0,0.0,3.9999,0.0,0.0,0.0
12.19,0.0,0.0,3.9999,0.0,0.0,0.0
12.31,0.0,0.0,3.9999,0.0,0.0,0.0
12.42,0.0,0.0,4.0,0.0,0.0,0.0
12.53,0.0,0.0,4.0,0.0,0.0,0.0
12.64,0.0,0.0,4.0,0.0,0.0,0.0
12.75,0.0,0.0,4.0,0.0,0.0,0.0
12.86,0.0,0.0,4.0,0.0,0.0,0.0
12.97,0.0,0.0,4.0,0.0,0.0,0.0
13.08,0.0,0.0,4.0,0.0,0.0,0.0
13.19,0.0,0.0,4.0,0.0,0.0,0.0
13.3,0.0,0.0,4.0,0.0,0.0,0.0
13.41,0.0,0.0,4.0,0.0,0.0,0.0
13.52,0.0,0.0,4.0,0.0,0.0,0.0
13.63,0.0,0.0,4.0,0.0,0.0,0.0
13.74,0.0,0.0,4.0,0.0,0.0,0.0
13.85,0.0,0.0,4.0,0.0,0.0,0.0
13.96,0.0,0.0,4.0,0.0,0.0,0.0
